name_ko,name_en,tasting_note,roasting,process,variety,altitude,washing_station,region,release_ym,category,no,sensory_narrative
에티오피아 부쿠 아벨,ETHIOPIA BUKU ABEL,"블루베리, 제비꽃, 복숭아, 딸기",미디엄 라이트,내추럴,토착종,"1,900 ~ 2,100 MASL",부쿠 아벨,구지 함벨라,2026년 2월,싱글오리진,439.0,"구지 함벨라 지역과 부쿠 아벨의 배경이 겹쳐진 이 커피에서는 블루베리가 먼저 맑게 피어나고, 이어 제비꽃이 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 복숭아를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
벤사: 봄베 허니,BENSA: BOMBE HONEY,"라벤더, 무화과, 핑크 구아바, 체리",미디엄 라이트,허니,토착종,"2,000 ~ 2,300 MASL",,시다마 존 벤사 워레다,2026년 2월,싱글오리진,442.0,"시다마 존 벤사 워레다 지역의 개성이 담긴 이 커피에서는 라벤더가 먼저 맑게 피어나고, 이어 무화과가 부드럽게 겹쳐지며 첫인상을 형성합니다. 허니 프로세스가 단맛과 질감을 부드럽게 이어 주며 컵의 결을 매끈하게 다듬고 중반부로 갈수록 핑크 구아바를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
온두라스 핀코나,HONDURAS FINCONA,"초콜릿 트러플, 피칸, 건포도, 달콤한(Sugary)",미디엄,내추럴,티피카,"1,800 MASL",,마사과라 산 후아니요,2026년 2월,싱글오리진,441.0,"마사과라 산 후아니요 지역의 개성이 담긴 이 커피에서는 초콜릿 트러플이 먼저 맑게 피어나고, 이어 피칸이 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 건포도를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 티피카 특유의 투명하고 우아한 균형이 컵 전체를 정갈하게 정리합니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
케냐 키안조구,KENYA KIANJOGU,"핑크 자몽, 천도복숭아, 야생꿀",미디엄 라이트,워시드,"SL28, SL34, 루이루11, 바티안",,,니에리,2026년 2월,싱글오리진,440.0,"니에리 지역의 개성이 담긴 이 커피에서는 핑크 자몽이 먼저 맑게 피어나고, 이어 천도복숭아가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 야생꿀을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. SL 계열 품종이 만들어 내는 선명한 산미와 짙은 과실감이 컵의 중심을 또렷하게 세웁니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
엘 인헤르토: 게이샤,EL INJERTO: GEISHA,"재스민, 아카시아꿀, 베르가못, 살구, 홍차",미디엄 라이트,워시드,게이샤,"1,804 ~ 1,920 MASL",,우에우에테낭고,2026년 1월,싱글오리진,438.0,"우에우에테낭고 지역의 개성이 담긴 이 커피에서는 재스민이 먼저 맑게 피어나고, 이어 아카시아꿀이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 베르가못을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 게이샤 품종 특유의 섬세한 플로럴함과 길고 우아한 여운이 중심을 잡습니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
벤사: 알라체 워시드,BENSA: ALACHE WASHED,"천도복숭아, 감귤, 허니서클, 백차",미디엄 라이트,워시드,74158,"2,400 ~ 2,500 MASL",,시다마 벤사,2026년 1월,싱글오리진,437.0,"시다마 벤사 지역의 개성이 담긴 이 커피에서는 천도복숭아가 먼저 맑게 피어나고, 이어 감귤이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 허니서클을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
과테말라 엘 소코로,GUATEMALA EL SOCORRO,"홍로, 마카다미아, 무화과, 누가",라이트,워시드,마라카투라,"1,540 ~ 1,860 MASL",,팔렌시아,2026년 1월,싱글오리진,436.0,"팔렌시아 지역의 개성이 담긴 이 커피에서는 홍로가 먼저 맑게 피어나고, 이어 마카다미아가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 무화과를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카투라가 지닌 정돈된 산미와 단맛의 균형이 컵을 안정감 있게 이끕니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
온두라스 카바예로,HONDURAS CABALLERO,"피칸, 카카오, 블랙커런트",미디엄,내추럴,카투아이,"1,600 MASL",,"마르칼라, 치나클라",2026년 1월,싱글오리진,435.0,"마르칼라, 치나클라 지역의 개성이 담긴 이 커피에서는 피칸이 먼저 맑게 피어나고, 이어 카카오가 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 블랙커런트를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카투아이 계열의 친숙한 단맛과 안정적인 밸런스가 편안한 인상을 더합니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
케냐 웨이타가,KENYA WEITHAGA,"자두, 자몽, 패션프루트, 건망고",미디엄 라이트,워시드,"SL28, SL34, 루이루11, 바티안","1,650 ~ 1,700 MASL",,무랑아 카운티,2026년 1월,싱글오리진,434.0,"무랑아 카운티 지역의 개성이 담긴 이 커피에서는 자두가 먼저 맑게 피어나고, 이어 자몽이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 패션프루트를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. SL 계열 품종이 만들어 내는 선명한 산미와 짙은 과실감이 컵의 중심을 또렷하게 세웁니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
아이리스 에스테이트: 게이샤 아릴,IRIS ESTATE: GEISHA ARIL,"재스민, 오렌지 블로섬, 히비스커스, 분홍 장미, 천도복숭아",미디엄 라이트,무산소 워시드(탄소침용),게이샤,"1,850 - 2,300 MASL",,파나마 볼칸,2025년 12월,싱글오리진,433.0,"파나마 볼칸 지역의 개성이 담긴 이 커피에서는 재스민이 먼저 맑게 피어나고, 이어 오렌지 블로섬이 부드럽게 겹쳐지며 첫인상을 형성합니다. 발효에서 비롯된 입체적인 인상이 더해져 향미의 층위가 한층 깊어지고 중반부로 갈수록 히비스커스를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 게이샤 품종 특유의 섬세한 플로럴함과 길고 우아한 여운이 중심을 잡습니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
에콰도르 라 호세피나 티피카,ECUADOR LA JOSEFINA TYPICA,"백도, 샴페인, 청사과",라이트,무산소 내추럴,티피카,"1,200 - 2,000 MASL",,피친차,2025년 12월,싱글오리진,432.0,"피친차 지역의 개성이 담긴 이 커피에서는 백도가 먼저 맑게 피어나고, 이어 샴페인이 부드럽게 겹쳐지며 첫인상을 형성합니다. 발효에서 비롯된 입체적인 인상이 더해져 향미의 층위가 한층 깊어지고 중반부로 갈수록 청사과를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 티피카 특유의 투명하고 우아한 균형이 컵 전체를 정갈하게 정리합니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
케냐 카리미쿠이,KENYA KARIMIKUI,"망고, 구운 파인애플, 레몬밤, 야자당",라이트,워시드,"SL28, SL34, 루이루11, 바티안",,,,2025년 12월,싱글오리진,431.0,"이 커피에서는 망고가 먼저 맑게 피어나고, 이어 구운 파인애플이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 레몬밤을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. SL 계열 품종이 만들어 내는 선명한 산미와 짙은 과실감이 컵의 중심을 또렷하게 세웁니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
엘살바도르 산프란시스코,EL SALVADOR SAN FRANCISCO,"건자두, 누가, 코코아, 시럽",미디엄 라이트,워시드,바티안,,,와차판,2025년 12월,싱글오리진,430.0,"와차판 지역의 개성이 담긴 이 커피에서는 건자두가 먼저 맑게 피어나고, 이어 누가가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 코코아를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 케냐 계열 품종의 구조감이 더해져 산미와 단맛의 대비가 보다 분명하게 살아납니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
크리스마스 블렌드,CHRISTMAS BLEND,"라즈베리, 라일락, 메를로, 밀크초콜릿",미디엄,,,,,,2025년 12월,블렌드,43.0,"이 커피에서는 라즈베리가 먼저 맑게 피어나고, 이어 라일락이 부드럽게 겹쳐지며 첫인상을 형성합니다. 가공 방식이 만드는 결도 과하지 않게 정돈되어 중반부로 갈수록 메를로를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 품종이 지닌 고유한 개성 또한 컵의 균형을 안정감 있게 받쳐 줍니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
